"id","category","query","elapsed_s","logcat_line","path","top","score","tools","response","status","error","expected","forbidden"
"C1-01","1","What is my dog's name?","1","09-23 14:51:54.989 19882 20081 I TestQuery: id=C1-01 cat=1 ms=4321 path=standard top=current_dog score=5.688 tools=0 resp='My dog`s name is Biscuit.'","standard","current_dog","5.688","0","My dog`s name is Biscuit.","PASS",,"Biscuit","Rex | Fluffy"
"C1-02","1","What is my wife's name?","1","09-23 14:52:00.404 19882 20157 I TestQuery: id=C1-02 cat=1 ms=3920 path=standard top=name_wife score=5.350 tools=0 resp='My wife`s name is Mei.'","standard","name_wife","5.350","0","My wife`s name is Mei.","PASS",,"Mei",""
"C1-03","1","What is my daughter's name?","1","09-23 14:52:05.690 19882 20249 I TestQuery: id=C1-03 cat=1 ms=3865 path=standard top=name_daughter score=4.253 tools=0 resp='My daughter`s name is Luna.'","standard","name_daughter","4.253","0","My daughter`s name is Luna.","PASS",,"Luna",""
"C1-04","1","What is my son's name?","1","09-23 14:52:11.101 19882 20299 I TestQuery: id=C1-04 cat=1 ms=3909 path=standard top=name_son score=5.141 tools=0 resp='My son`s name is Kai.'","standard","name_son","5.141","0","My son`s name is Kai.","PASS",,"Kai",""
"C1-05","1","What is my favorite food?","1","09-23 14:52:16.479 19882 20350 I TestQuery: id=C1-05 cat=1 ms=3929 path=standard top=fav_food score=5.613 tools=0 resp='My favorite food is ramen.'","standard","fav_food","5.613","0","My favorite food is ramen.","PASS",,"ramen",""
"C1-06","1","What is my favorite color?","1","09-23 14:52:23.292 19882 20394 I TestQuery: id=C1-06 cat=1 ms=5288 path=standard top=fav_color score=6.757 tools=0 resp='My favorite color is forest green.'","standard","fav_color","6.757","0","My favorite color is forest green.","PASS",,"green",""
"C1-07","1","When is my birthday?","1","09-23 14:52:28.935 19882 21015 I TestQuery: id=C1-07 cat=1 ms=4302 path=standard top=birthday score=2.956 tools=0 resp='My birthday is March 15th.'","standard","birthday","2.956","0","My birthday is March 15th.","PASS",,"March | 15",""
"C1-08","1","What am I allergic to?","1","09-23 14:52:34.855 19882 21123 I TestQuery: id=C1-08 cat=1 ms=4475 path=standard top=allergy score=3.034 tools=0 resp='I am allergic to shellfish.'","standard","allergy","3.034","0","I am allergic to shellfish.","PASS",,"shellfish",""
"C1-09","1","What language am I learning?","1","09-23 14:52:40.740 19882 21209 I TestQuery: id=C1-09 cat=1 ms=4386 path=standard top=learning score=3.480 tools=0 resp='I`m learning Japanese in my spare time.'","standard","learning","3.480","0","I`m learning Japanese in my spare time.","PASS",,"Japanese",""
"C1-10","1","What is my current job?","1","09-23 14:52:46.975 19882 21265 I TestQuery: id=C1-10 cat=1 ms=4566 path=standard top=current_job score=1.615 tools=0 resp='My current job is as a software engineer at a startup.'","standard","current_job","1.615","0","My current job is as a software engineer at a startup.","PASS",,"engineer | software | startup",""
"C2-01","2","Where do I currently live?","1","09-23 14:52:52.923 19882 21342 I TestQuery: id=C2-01 cat=2 ms=4337 path=standard top=current_city score=4.043 tools=0 resp='I currently live in Portland, Oregon.'","standard","current_city","4.043","0","I currently live in Portland, Oregon.","PASS",,"Portland",""
"C2-02","2","What city do I live in now?","1","09-23 14:53:00.334 19882 21400 I TestQuery: id=C2-02 cat=2 ms=5800 path=standard top=current_city score=3.065 tools=0 resp='I live in Portland, Oregon.'","standard","current_city","3.065","0","I live in Portland, Oregon.","PASS",,"Portland",""
"C2-03","2","What programming language do I use now?","1","09-23 14:53:08.178 19882 21445 I TestQuery: id=C2-03 cat=2 ms=6384 path=standard top=current_lang score=5.951 tools=0 resp='I use Rust as my current programming language.'","standard","current_lang","5.951","0","I use Rust as my current programming language.","PASS",,"Rust",""
"C2-04","2","What car do I drive now?","1","09-23 14:53:13.906 19882 21500 I TestQuery: id=C2-04 cat=2 ms=4192 path=standard top=current_car score=3.401 tools=0 resp='I drive a blue Subaru Outback.'","standard","current_car","3.401","0","I drive a blue Subaru Outback.","PASS",,"Subaru | Outback | blue",""
"C2-05","2","What is my current car?","1","09-23 14:53:20.144 19882 21584 I TestQuery: id=C2-05 cat=2 ms=4671 path=standard top=current_lang score=1.656 tools=0 resp='The answer is: Your current car is a blue Subaru Outback.'","standard","current_lang","1.656","0","The answer is: Your current car is a blue Subaru Outback.","PASS",,"Subaru",""
"C2-06","2","Where am I living these days?","1","09-23 14:53:26.484 19882 21655 I TestQuery: id=C2-06 cat=2 ms=4687 path=standard top=current_city score=1.521 tools=0 resp='I currently live in Portland, Oregon.'","standard","current_city","1.521","0","I currently live in Portland, Oregon.","PASS",,"Portland",""
"C2-07","2","What's my present car?","1","09-23 14:53:33.221 19882 21728 I TestQuery: id=C2-07 cat=2 ms=5183 path=standard top=current_car score=1.538 tools=0 resp='The user`s present car is a blue Subaru Outback.'","standard","current_car","1.538","0","The user`s present car is a blue Subaru Outback.","PASS",,"Subaru",""
"C2-08","2","What is my current favorite language?","1","09-23 14:53:39.789 19882 21860 I TestQuery: id=C2-08 cat=2 ms=4977 path=standard top=current_lang score=7.795 tools=0 resp='My current favorite programming language is Rust.'","standard","current_lang","7.795","0","My current favorite programming language is Rust.","PASS",,"Rust",""
"C2-09","2","Am I vegetarian?","1","09-23 14:53:46.566 19882 21915 I TestQuery: id=C2-09 cat=2 ms=5031 path=standard top=vegetarian score=3.708 tools=0 resp='Yes, I am vegetarian.'","standard","vegetarian","3.708","0","Yes, I am vegetarian.","PASS",,"yes | vegetarian",""
"C2-10","2","Do I have a pet?","1","09-23 14:53:55.028 19882 21956 I TestQuery: id=C2-10 cat=2 ms=6661 path=standard top=dog_fluffy score=1.652 tools=0 resp='Yes, you have a pet. You have a dog named Biscuit.'","standard","dog_fluffy","1.652","0","Yes, you have a pet. You have a dog named Biscuit.","PASS",,"dog | Biscuit",""
"C3-01","3","Where did I live before?","1","09-23 14:54:02.355 19882 22032 I TestQuery: id=C3-01 cat=3 ms=5729 path=standard top=past_city score=1.315 tools=0 resp='I used to live in Seattle before moving.'","standard","past_city","1.315","0","I used to live in Seattle before moving.","PASS",,"Seattle",""
"C3-02","3","What was my previous city?","1","09-23 14:54:11.940 19882 22087 I TestQuery: id=C3-02 cat=3 ms=8044 path=standard top=current_city score=0.072 tools=0 resp='The user previously lived in Seattle.'","standard","current_city","0.072","0","The user previously lived in Seattle.","PASS",,"Seattle",""
"C3-03","3","What language did I use to program in?","1","09-23 14:54:19.373 19882 22231 I TestQuery: id=C3-03 cat=3 ms=5747 path=standard top=current_lang score=3.553 tools=0 resp='The user primarily uses Rust for programming.'","standard","current_lang","3.553","0","The user primarily uses Rust for programming.","FAIL",,"Python",""
"C3-04","3","What was my old car?","1","09-23 14:54:27.443 19882 22277 I TestQuery: id=C3-04 cat=3 ms=6459 path=standard top=past_car score=1.792 tools=0 resp='Your old car was a red Honda Civic.'","standard","past_car","1.792","0","Your old car was a red Honda Civic.","PASS",,"Honda | Civic | red",""
"C3-05","3","What was my previous dog's name?","1","09-23 14:54:34.489 19882 22378 I TestQuery: id=C3-05 cat=3 ms=5511 path=standard top=current_dog score=2.607 tools=0 resp='The previous dog`s name was Rex.'","standard","current_dog","2.607","0","The previous dog`s name was Rex.","PASS",,"Rex",""
"C3-06","3","What was my former job?","1","09-23 14:54:41.643 19882 22448 I TestQuery: id=C3-06 cat=3 ms=5477 path=standard top=past_city score=0.823 tools=0 resp='The user used to work at a large tech company.'","standard","past_city","0.823","0","The user used to work at a large tech company.","PASS",,"tech | company | large",""
"C3-07","3","Where did I live formerly?","1","09-23 14:54:49.027 19882 22505 I TestQuery: id=C3-07 cat=3 ms=5645 path=standard top=current_city score=1.788 tools=0 resp='I used to live in Seattle before moving.'","standard","current_city","1.788","0","I used to live in Seattle before moving.","PASS",,"Seattle",""
