"id","category","query","elapsed_s","logcat_line","path","top","score","tools","response","status","error","expected","forbidden"
"C1-01","1","What is my dog's name?","1","09-23 15:13:52.586  2349  3495 I TestQuery: id=C1-01 cat=1 ms=4391 path=standard top=current_dog score=5.688 tools=0 resp='My dog`s name is Biscuit.'","standard","current_dog","5.688","0","My dog`s name is Biscuit.","PASS",,"Biscuit","Rex | Fluffy"
"C1-02","1","What is my wife's name?","1","09-23 15:13:57.990  2349  3563 I TestQuery: id=C1-02 cat=1 ms=3987 path=standard top=name_wife score=5.350 tools=0 resp='My wife`s name is Mei.'","standard","name_wife","5.350","0","My wife`s name is Mei.","PASS",,"Mei",""
"C1-03","1","What is my daughter's name?","1","09-23 15:14:03.360  2349  3630 I TestQuery: id=C1-03 cat=1 ms=3912 path=standard top=name_daughter score=4.253 tools=0 resp='My daughter`s name is Luna.'","standard","name_daughter","4.253","0","My daughter`s name is Luna.","PASS",,"Luna",""
"C1-04","1","What is my son's name?","1","09-23 15:14:08.787  2349  3668 I TestQuery: id=C1-04 cat=1 ms=3880 path=standard top=name_son score=5.141 tools=0 resp='My son`s name is Kai.'","standard","name_son","5.141","0","My son`s name is Kai.","PASS",,"Kai",""
"C1-05","1","What is my favorite food?","1","09-23 15:14:14.199  2349  3750 I TestQuery: id=C1-05 cat=1 ms=3936 path=standard top=fav_food score=5.613 tools=0 resp='My favorite food is ramen.'","standard","fav_food","5.613","0","My favorite food is ramen.","PASS",,"ramen",""
"C1-06","1","What is my favorite color?","1","09-23 15:14:19.705  2349  3797 I TestQuery: id=C1-06 cat=1 ms=4036 path=standard top=fav_color score=6.757 tools=0 resp='My favorite color is forest green.'","standard","fav_color","6.757","0","My favorite color is forest green.","PASS",,"green",""
"C1-07","1","When is my birthday?","1","09-23 15:14:25.495  2349  3853 I TestQuery: id=C1-07 cat=1 ms=4296 path=standard top=birthday score=2.956 tools=0 resp='My birthday is March 15th.'","standard","birthday","2.956","0","My birthday is March 15th.","PASS",,"March | 15",""
"C1-08","1","What am I allergic to?","1","09-23 15:14:34.088  2349  3918 I TestQuery: id=C1-08 cat=1 ms=7082 path=standard top=allergy score=3.034 tools=0 resp='I am allergic to shellfish.'","standard","allergy","3.034","0","I am allergic to shellfish.","PASS",,"shellfish",""
"C1-09","1","What language am I learning?","1","09-23 15:14:41.719  2349  3974 I TestQuery: id=C1-09 cat=1 ms=6262 path=standard top=learning score=3.480 tools=0 resp='I`m learning Japanese in my spare time.'","standard","learning","3.480","0","I`m learning Japanese in my spare time.","PASS",,"Japanese",""
"C1-10","1","What is my current job?","1","09-23 15:14:47.669  2349  4100 I TestQuery: id=C1-10 cat=1 ms=4504 path=standard top=current_job score=1.615 tools=0 resp='My current job is as a software engineer at a startup.'","standard","current_job","1.615","0","My current job is as a software engineer at a startup.","PASS",,"engineer | software | startup",""
"C2-01","2","Where do I currently live?","1","09-23 15:14:53.974  2349  4183 I TestQuery: id=C2-01 cat=2 ms=4844 path=standard top=current_city score=4.043 tools=0 resp='I currently live in Portland, Oregon.'","standard","current_city","4.043","0","I currently live in Portland, Oregon.","PASS",,"Portland",""
"C2-02","2","What city do I live in now?","1","09-23 15:15:00.376  2349  4310 I TestQuery: id=C2-02 cat=2 ms=4891 path=standard top=current_city score=3.065 tools=0 resp='I live in Portland, Oregon.'","standard","current_city","3.065","0","I live in Portland, Oregon.","PASS",,"Portland",""
"C2-03","2","What programming language do I use now?","1","09-23 15:15:07.157  2349  4366 I TestQuery: id=C2-03 cat=2 ms=5277 path=standard top=current_lang score=5.951 tools=0 resp='I use Rust as my current favorite programming language.'","standard","current_lang","5.951","0","I use Rust as my current favorite programming language.","PASS",,"Rust",""
"C2-04","2","What car do I drive now?","1","09-23 15:15:13.887  2349  4427 I TestQuery: id=C2-04 cat=2 ms=5142 path=standard top=current_car score=3.401 tools=0 resp='I drive a blue Subaru Outback.'","standard","current_car","3.401","0","I drive a blue Subaru Outback.","PASS",,"Subaru | Outback | blue",""
"C2-05","2","What is my current car?","1","09-23 15:15:21.757  2349  4552 I TestQuery: id=C2-05 cat=2 ms=6337 path=standard top=current_lang score=1.656 tools=0 resp='The answer is: Your current car is a blue Subaru Outback.'","standard","current_lang","1.656","0","The answer is: Your current car is a blue Subaru Outback.","PASS",,"Subaru",""
"C2-06","2","Where am I living these days?","1","09-23 15:15:29.038  2349  4628 I TestQuery: id=C2-06 cat=2 ms=5759 path=standard top=current_city score=1.521 tools=0 resp='I currently live in Portland, Oregon.'","standard","current_city","1.521","0","I currently live in Portland, Oregon.","PASS",,"Portland",""
"C2-07","2","What's my present car?","1","09-23 15:15:37.329  2349  4721 I TestQuery: id=C2-07 cat=2 ms=6696 path=standard top=current_car score=1.538 tools=0 resp='The user`s present car is a blue Subaru Outback.'","standard","current_car","1.538","0","The user`s present car is a blue Subaru Outback.","PASS",,"Subaru",""
"C2-08","2","What is my current favorite language?","1","09-23 15:15:45.085  2349  4791 I TestQuery: id=C2-08 cat=2 ms=6169 path=standard top=current_lang score=7.795 tools=0 resp='My current favorite programming language is Rust.'","standard","current_lang","7.795","0","My current favorite programming language is Rust.","PASS",,"Rust",""
"C2-09","2","Am I vegetarian?","1","09-23 15:15:52.344  2349  4849 I TestQuery: id=C2-09 cat=2 ms=5497 path=standard top=vegetarian score=3.708 tools=0 resp='Yes, I am vegetarian.'","standard","vegetarian","3.708","0","Yes, I am vegetarian.","PASS",,"yes | vegetarian",""
"C2-10","2","Do I have a pet?","1","09-23 15:16:00.928  2349  4912 I TestQuery: id=C2-10 cat=2 ms=6998 path=standard top=dog_fluffy score=1.652 tools=0 resp='Yes, you have a pet. You have a dog named Biscuit.'","standard","dog_fluffy","1.652","0","Yes, you have a pet. You have a dog named Biscuit.","PASS",,"dog | Biscuit",""
"C3-01","3","Where did I live before?","1","09-23 15:16:08.182  2349  4993 I TestQuery: id=C3-01 cat=3 ms=5614 path=standard top=past_city score=1.315 tools=0 resp='I used to live in Seattle before moving.'","standard","past_city","1.315","0","I used to live in Seattle before moving.","PASS",,"Seattle",""
"C3-02","3","What was my previous city?","1","09-23 15:16:15.851  2349  5040 I TestQuery: id=C3-02 cat=3 ms=6044 path=standard top=current_city score=0.072 tools=0 resp='The user used to live in Seattle before moving.'","standard","current_city","0.072","0","The user used to live in Seattle before moving.","PASS",,"Seattle",""
"C3-03","3","What language did I use to program in?","1","09-23 15:16:23.726  2349  5099 I TestQuery: id=C3-03 cat=3 ms=6286 path=standard top=current_lang score=3.553 tools=0 resp='I used to program primarily in Python before switching.'","standard","current_lang","3.553","0","I used to program primarily in Python before switching.","PASS",,"Python",""
"C3-04","3","What was my old car?","1","09-23 15:16:31.576  2349  5162 I TestQuery: id=C3-04 cat=3 ms=6108 path=standard top=past_car score=1.792 tools=0 resp='My old car was a red Honda Civic.'","standard","past_car","1.792","0","My old car was a red Honda Civic.","PASS",,"Honda | Civic | red",""
"C3-05","3","What was my previous dog's name?","1","09-23 15:16:38.957  2349  5230 I TestQuery: id=C3-05 cat=3 ms=5728 path=standard top=current_dog score=2.607 tools=0 resp='The previous dog`s name was Rex.'","standard","current_dog","2.607","0","The previous dog`s name was Rex.","PASS",,"Rex",""
"C3-06","3","What was my former job?","1","09-23 15:16:46.733  2349  5296 I TestQuery: id=C3-06 cat=3 ms=6247 path=standard top=past_city score=0.823 tools=0 resp='I used to work at a large tech company.'","standard","past_city","0.823","0","I used to work at a large tech company.","PASS",,"tech | company | large",""
"C3-07","3","Where did I live formerly?","1","09-23 15:16:54.897  2349  5383 I TestQuery: id=C3-07 cat=3 ms=6488 path=standard top=current_city score=1.788 tools=0 resp='I used to live in Seattle before moving.'","standard","current_city","1.788","0","I used to live in Seattle before moving.","PASS",,"Seattle",""
"C3-08","3","What did I drive before?","1","09-23 15:17:02.023  2349  5654 I TestQuery: id=C3-08 cat=3 ms=5495 path=standard top=past_car score=0.023 tools=0 resp='I drove a red Honda Civic before.'","standard","past_car","0.023","0","I drove a red Honda Civic before.","PASS",,"Honda",""
"C3-09","3","What was my old pet's name?","1","09-23 15:17:09.391  2349  5695 I TestQuery: id=C3-09 cat=3 ms=5730 path=standard top=current_dog score=1.956 tools=0 resp='The old pet`s name was Rex.'","standard","current_dog","1.956","0","The old pet`s name was Rex.","PASS",,"Rex",""
"C3-10","3","Where was my previous home?","1","09-23 15:17:16.687  2349  5749 I TestQuery: id=C3-10 cat=3 ms=5575 path=standard top=past_city score=0.428 tools=0 resp='I used to live in Seattle before moving.'","standard","past_city","0.428","0","I used to live in Seattle before moving.","PASS",,"Seattle",""
"C4-01","4","What is my friend's cat's name?","1","09-23 15:17:24.616  2349  5794 I TestQuery: id=C4-01 cat=4 ms=6178 path=standard top=cat_biscuit score=3.393 tools=0 resp='The name of my friend`s cat is Biscuit.'","standard","cat_biscuit","3.393","0","The name of my friend`s cat is Biscuit.","PASS",,"Biscuit",""
"C4-02","4","What is my sister's dog's name?","1","09-23 15:17:32.003  2349  5898 I TestQuery: id=C4-02 cat=4 ms=5794 path=standard top=dog_fluffy score=3.295 tools=0 resp='The dog`s name is Fluffy.'","standard","dog_fluffy","3.295","0","The dog`s name is Fluffy.","PASS",,"Fluffy",""
"C4-03","4","What language does my brother prefer?","1","09-23 15:17:39.600  2349  5943 I TestQuery: id=C4-03 cat=4 ms=5933 path=standard top=brother_python score=6.047 tools=0 resp='The language preferred by my brother is Python.'","standard","brother_python","6.047","0","The language preferred by my brother is Python.","PASS",,"Python",""
